Instance,Type,Dimension,Time,Cost,Deviation
E-n22-k4.vrp,E,22,10.19,375.28,0.07
E-n51-k5.vrp,E,51,16.67,611.59,17.39
E-n30-k3.vrp,E,30,11.88,544.37,1.94
E-n101-k14.vrp,E,101,32.92,1277.43,19.72
E-n76-k8.vrp,E,76,23.51,890.34,21.13
E-n76-k7.vrp,E,76,22.74,866.57,27.06
E-n101-k8.vrp,E,101,30.11,1036.11,27.13
E-n23-k3.vrp,E,23,9.92,569.75,0.13
E-n33-k4.vrp,E,33,12.66,885.78,6.08
E-n76-k14.vrp,E,76,27.69,1144.69,12.12
E-n76-k10.vrp,E,76,25.04,961.14,15.8
